Package,File,Feature,Technology,Confidence,,
main.java.org.broadleafcommerce.common.sitemap.domain,CustomUrlSiteMapGeneratorConfigurationImpl.java,Specifying Primary Tables for Entities,JPA,0.73333335,Y,
main.java.org.broadleafcommerce.common.sitemap.domain,CustomUrlSiteMapGeneratorConfigurationImpl.java,Entities,JPA,0.73333335,Y,
main.java.org.broadleafcommerce.common.enumeration.dao,DataDrivenEnumerationDaoImpl.java,Persistence Contexts,JPA,0.73333335,Y,
main.java.org.broadleafcommerce.common.enumeration.domain,DataDrivenEnumerationImpl.java,Specifying IDs for Entities,JPA,0.73333335,Y,
main.java.org.broadleafcommerce.common.enumeration.domain,DataDrivenEnumerationImpl.java,Mapping Inheritance,JPA,0.73333335,Y,
main.java.org.broadleafcommerce.common.enumeration.domain,DataDrivenEnumerationImpl.java,Generation of values for simple identifiers,JPA,0.73333335,Y,
main.java.org.broadleafcommerce.common.enumeration.domain,DataDrivenEnumerationImpl.java,Cascade all operations,JPA,0.73333335,Y,
main.java.org.broadleafcommerce.common.enumeration.domain,DataDrivenEnumerationImpl.java,Enforcing Indices,Hibernate,0.73333335,Y,
main.java.org.broadleafcommerce.common.enumeration.domain,DataDrivenEnumerationImpl.java,Specifying Primary Tables for Entities,JPA,0.73333335,Y,
main.java.org.broadleafcommerce.common.enumeration.domain,DataDrivenEnumerationImpl.java,Entities,JPA,0.73333335,Y,
main.java.org.broadleafcommerce.common.enumeration.domain,DataDrivenEnumerationImpl.java,Mapping Joined Table Inheritance,JPA,0.73333335,Y,
main.java.org.broadleafcommerce.common.enumeration.domain,DataDrivenEnumerationValueImpl.java,Joining Columns for Entities,JPA,0.73333335,Y,
main.java.org.broadleafcommerce.common.enumeration.domain,DataDrivenEnumerationValueImpl.java,Specifying IDs for Entities,JPA,0.73333335,Y,
main.java.org.broadleafcommerce.common.enumeration.domain,DataDrivenEnumerationValueImpl.java,n-1 Associations,JPA,0.73333335,Y,
