Package,File,Feature,Technology,Confidence,Used
framework.src.org.plazmaforge.framework.core.criteria,CriteriaSorterSet.java,JDBC Work,Hibernate,0.46666667,N
framework.src.org.plazmaforge.framework.core.criteria,CriteriaFilterSet.java,JDBC Work,Hibernate,0.46666667,N
framework.src.org.plazmaforge.framework.core.criteria,AbstractCriteriaWorker.java,JDBC Work,Hibernate,0.46666667,N
framework.src.org.plazmaforge.framework.association,AssociationManager.java,EntityManager,JPA,0.46666667,N
framework.src.org.plazmaforge.framework.util,ErrorTranslator.java,EntityManager,JPA,0.46666667,N
framework.src.org.plazmaforge.framework.util,TextWorker.java,JDBC Work,Hibernate,0.46666667,N
framework.src.org.plazmaforge.framework.util,IEntityManager.java,EntityManager,JPA,0.46666667,N
framework.src.org.plazmaforge.framework.security,SecureEnvironment.java,EntityManager,JPA,0.46666667,N
framework.src.org.plazmaforge.framework.liteserver,Server.java,Establishing direct Database Connection,Java SQL,0.46666667,N
framework.src.org.plazmaforge.framework.sql,ResultSetReaderInfo.java,Blobs,Java SQL,0.46666667,N
framework.src.org.plazmaforge.framework.datawarehouse.convert.dataexport.xls,XLSExporter.java,JDBC Work,Hibernate,0.46666667,N
framework.src.org.plazmaforge.framework.web,Navigator.java,Session,Hibernate,0.46666667,N
framework.src.org.plazmaforge.framework.web,Navigator.java,JDBC Work,Hibernate,0.46666667,N
framework.src.org.plazmaforge.framework.platform.structure.impl.spring,SpringContext.java,Session,Hibernate,0.46666667,N
framework.src.org.plazmaforge.framework.platform.structure.impl.spring,SpringContext.java,SessionFactory,Hibernate,0.46666667,N
framework.src.org.plazmaforge.framework.platform.structure.impl.spring,SpringContext.java,DataSource,Java SQL,0.46666667,N
framework.src.org.plazmaforge.framework.platform,EntityEnvironment.java,EntityManager,JPA,0.46666667,N
framework.src.org.plazmaforge.framework.platform,PlatformContext.java,Establishing direct Database Connection,Java SQL,0.46666667,N
framework.src.org.plazmaforge.framework.platform,PlatformEnvironment.java,Establishing direct Database Connection,Java SQL,0.46666667,N
framework.src.org.plazmaforge.framework.platform,EntityManager.java,EntityManager,JPA,0.46666667,N
framework.src.org.plazmaforge.framework.platform,PlatformApplicationManager.java,Establishing direct Database Connection,Java SQL,0.46666667,N
framework.src.org.plazmaforge.framework.platform.service.impl.spring,SpringServiceLocator.java,Establishing direct Database Connection,Java SQL,0.46666667,N
